audio,caption
dataset/Mr Eazi - Werser.mp3,"upbeat, energetic, afrobeat, male, chill"
dataset/Specdo - Branama.MP3,"upbeat,happy, Afrobeat, male, Nigerian music"
dataset/Ajebo Hustlers - Solace.mp3,"upbeat, Afrobeats, mixed, Nigerian"
dataset/Tl.snowzy - Cool it.MP3,"cool, chill, relaxed, hip hop, rap, male, upbeat"
dataset/Seyi Shay Ft Migz - Doing Me.mp3,"upbeat, energetic, confident, Afrobeats, R&B, female, collaboration, contemporary"
dataset/General pype - Victorious man.MP3,"uplifting, victorious, Afrobeat, male, Nigeria, dance"
dataset/VEX - NATIVE SOUNDSYSTEM FT CANDY BLEAKZ  x SHOLZ TEEZEE & ODUMODUBLVCK.mp3,"energetic, upbeat, Afrobeats, Hip hop, mixed, collaboration, Nigerian artists"
dataset/Korede Bello - SunMomi (Only You).mp3,"romantic, happy, Afrobeats, male, Nigerian music"
dataset/DJ-Xclusive-Dispatch.mp3,"energetic, lively, upbeat, electronic, male, party, dance"
dataset/Adekunle Gold - Do You Mind.mp3,"romantic, chill, Afrobeat, male, Nigerian"
dataset/Sva-The-Dominator-Haybo-ft-Heartless-Boyz-MusiQ.mp3,"energetic, powerful, gqom, male, collaboration"
dataset/Portable-Iyen-Oto.mp3,"upbeat, energetic, afrobeat, male, groovy"
dataset/MUNGU YUPO  - Guardian Angel  ft. Sifaeli Mwabuka.mp3,"inspirational, uplifting, gospel, mixed, collaboration"
dataset/Ladipoe ft bujuj - Feeling.MP3,"relaxed, happy, Afrobeats, male, collaboration"
dataset/Lowsheen-Njabulo-ft-Azana-B33kay-SA.mp3,"upbeat, uplifting, afrobeat, mixed, collaboration"
dataset/Ric-Hassani-Kaku-Late.mp3,"romantic, chill, R&B, male, Nigerian"
dataset/Dj neptune ft maleek berry - My world.MP3,"upbeat, energetic, Afrobeats, male, collaboration"
"dataset/Efe ft iceprince, boj - Campaign.MP3","energetic, motivational, afrobeat, male, collaboration"
dataset/Eddy-Kenzo-Kikutte.mp3,"upbeat,happy, afrobeat, male, "
dataset/STYL PLUS - IMAGINE THAT.mp3,"uplifting, romantic, R&B, mixed, Nigerian"
dataset/Timi-Dakolo-Take-Ft.-Olamide dflamz radio .mp3,"upbeat, energetic, Afrobeat, Male, collaboration, radio"
dataset/Omah lay - It's yours.MP3,"romantic, sweet, emotional, Afrobeats, male, Nigerian"
dataset/MaWhoo-Ingonyama-ft-Sfarzo-Rtee.mp3,"upbeat,happy, afro house, female, collaboration"
"dataset/JZyNo ft Nasty C, Did Sriram, lasmid - Butta My Bread (Remix).mp3","energetic, upbeat, hip hop, rap, male, male, collaboration, remix"
dataset/Efe (BBN) - Somebody.mp3,"uplifting,happy, Afrobeats, male, Nigerian,celebrity"
dataset/Kabza_De_Small_feat_Nia_Pearl_-_Izolo_70088909.mp3,"upbeat, energetic, Amapiano, male, collaboration, South African music"
dataset/Eltee-Skhillz-N4U.mp3,"energetic, upbeat, Afrobeats, male, "
dataset/Djy-Biza-Khuluma-Nami-Ft-Pcee.mp3,"energetic, upbeat, afro-house, male, collaboration"
