audio,caption
dataset/Dunnie - Jalo.mp3,"upbeat, energetic, Afrobeats, female, Nigerian"
dataset/Taiyel - 111.mp3,"energetic, afrobeat, female, upbeat"
dataset/Olamide - Problem.mp3,"energetic,hype, Afrobeat, male, Nigerian"
dataset/Rotimi - Runway.MP3,"energetic, confident, R&B, pop, male, upbeat, danceable"
dataset/Bouqui - King david.MP3,"energetic, motivational, hip hop, rap, female, Christian, Nigerian"
dataset/Abigail-Chams-Nani-ft-Marioo-(JustNaija.com).mp3,"joyful, energetic, Afrobeats, male, collaboration"
dataset/Anonymous-Music-Wale-ft-Barry-Jhay.mp3,"upbeat,happy, Afrobeats, Male, collaboration"
dataset/Boy spyce - Pepe .mp3,"upbeat,happy, afrobeat, male, Nigerian"
dataset/Qdot -  IDAN.mp3,"energetic,happy, Afrobeat, male, uplifting"
dataset/Sza - Nobody gets me.MP3,"soulful, emotional, R&B, female, contemporary"
dataset/Adekunle Gold & Simi - Look What You Made Me Do.mp3,"romantic, soulful, Afrobeat, R&B, Mixed, naija music"
dataset/Wizkid - Everytime ft Future.mp3,"energetic,happy, hip hop, male, collaboration"
"dataset/PRVIS3, Xola TSM & DBN Gogo - uWeeeh 2.0 (feat. 2woBunnies).mp3","energetic,upbeat, amapiano, mixed, collaboration, featuring artist"
dataset/Mapara A Jazz - John Vuli Gate Feat. Ntosh Gazi & Calano.mp3,"energetic,upbeat,dance, Amapiano, mixed, popular,club"
dataset/Preston Pablo ft Qing Madi & Nonso Amadi -   Alone.mp3,"melancholic, soothing, R&B, male, collaboration"
dataset/Olootu - Grateful.mp3,"uplifting,happy, Afrobeat, male, gratitude,thankful"
dataset/Bella Shmurda No Other Radio Edit Clean Version.mp3,"upbeat,happy,energetic, Afrobeats, male, radio edit,clean version"
dataset/04-Daliwonga-Mnike-Ft-Visca-Murumba-Pitch-Happy-JazzMan-Mzizi-(JustNaija.com).mp3,"happy, jazz, mixed, collaboration"
dataset/Reminisce - OGB4IG.mp3,"nostalgic, energetic, hip hop, male, Nigeria"
dataset/Nonso amadi - Eye to eye.MP3,"emotional, romantic, R&B, male, Nigerian"
dataset/Jid ft 21 savage and baby tate - Surround sound.MP3,"energetic, intense, hip hop, male, collaboration"
dataset/Post malone ft doja cat - I like you (a happier song).MP3,"happier, pop, mixed, feat. Post Malone, Doja Cat"
dataset/Korra-Obidi-No-Love.mp3,"energetic, powerful, Afrobeat, female, dance, upbeat"
dataset/Ding Dong - Gyal Ediat (Clean).mp3,"upbeat,happy, dancehall, male, "
dataset/Lavaud-Roll-On-Me-ft-Tiwa-Savage-KANIS-Reekado-Banks-Patoranking-Saint-Citizen.mp3,"upbeat, energetic, empowering, Afrobeats, mixed, collaboration, top artists"
dataset/Skales ft rotimi - Konibaje (remix).MP3,"upbeat, energetic, Afrobeat, male, remix"
dataset/Larry Gaaga - Work ft Davido.mp3,"energetic, upbeat, afrobeats, male, collaboration, Nigerian music"
dataset/Dremo ft zlatan - Chairman.MP3,"energetic,upbeat, Afrobeats, male, collaboration"
dataset/Sizzla - Wet (Clean).mp3,"energetic, dancehall, male, upbeat"
