audio,caption
dataset/Josze - Omo Oloyemekun.mp3,"energetic, upbeat, afrobeat, male, dance"
dataset/Blaqnick & Masterblaq - La Mezcla (Remix).mp3,"energetic,upbeat, afro house, male, remix"
dataset/Mi casa ft younotus - Chucks.MP3,"upbeat,happy, house, mixed, collaboration"
dataset/Bnxn  - Party Don-t-Stop.mp3,"upbeat, energetic, pop, hip hop, male, party"
dataset/Dapo Tuburna - See Finish feat Mayorkun.mp3,"happy, upbeat, Afrobeats, male, collaboration"
dataset/Laycon Marathon.mp3,"upbeat, energetic, Afrobeat, male, festive, danceable"
dataset/Erigga - Motivation ft Victor AD.mp3,"Motivational, Inspiring, Hip Hop, Male, Collaboration, Nigerian Music"
"dataset/Skip marley ft davido, h.e.r and oxlade - Slow down.MP3","chill, relaxed, reggae, afrobeat, mixed, collaboration"
dataset/Skales ft zlatan and krizbeatz - Selese.MP3,"energetic, catchy, Afrobeats, male, collaboration"
dataset/Aka - Fully in.MP3,"energetic, afrobeat, male, upbeat,dance"
dataset/Teyana taylor ft king combs - How you want it.MP3,"sensual, upbeat, R&B, hip hop, female, collaboration"
dataset/Sho madjozi - Huku.MP3,"energetic, upbeat, afrobeats, hip hop, female, South African music"
dataset/Naira Marley - Bad Influence.mp3,"chill, introspective, Afrobeats, male, Naira Marley"
dataset/WizKid - Smile  ft. H.E.R..mp3,"happy, upbeat, Afrobeat, male, collaboration"
dataset/Skales - Kayefi.MP3,"upbeat, energetic, afrobeat, male, Nigerian"
dataset/Iyanya-Love-And-Trust-Ft-Joeboy.mp3,"romantic, upbeat, afrobeat, male, collaboration"
dataset/Masego - What you wanna try.MP3,"smooth, groovy, R&B, Jazz, male, vibey, soulful"
dataset/07 Oh Sharp (feat. BUSISWA).mp3,"energetic, party, Amapiano, mixed, feat. BUSISWA"
dataset/Elephant Man  (Radio Edit) Cobhams Asuquo.mp3,"upbeat,happy, Afrobeat, male, Radio Edit"
dataset/Kizz daniel & kelvyn colt - Skin.MP3,"upbeat,happy, Afrobeat, male, collaboration"
dataset/Ckay - Container.mp3,"upbeat,happy, afrobeat, male, popular"
dataset/Muyeez -Trending ft Tml Vibez.mp3,"upbeat,happy, afrobeat, male, collaboration"
